Activity Name;Unit ;kgCO2e;kgCO2;kgCH4;kgN2O;Assesment Report;Scope;LCA;Sector;Category;Year Valid From;Region
PP waste disposal  (incl. forming) - open-loop;tonne;141.393414121817;9.38704564576043;4.88905197037838;0.00000786110336259991;AR4;Unknown;end_of_life;waste;Plastic Waste;2021;US-TX
Water transportation support / maintenance and repair services;cad;58.4907066843789;4.61852689574976;1.99523004569666;0.00000387421927697512;AR4;Unknown;primary_production-transport-manufacturing;transport;Transport Services and Warehousing;2020;US-CA
R403A;kg;119.675266955524;6.0245247055038;4.20925988373272;0.00000290155694490999;AR4;Unknown;fugitive_release;refrigerants and fugitive gases;Refrigerants and Fugitive Gases;2022;US-MN
Hotel stay;room-night;64.0576733643744;2.46297158948083;2.28123260627235;0.00000568562216015641;AR4;Unknown;unknown;restaurants and accommodation;Accommodation;2022;US-NY
Tires;cad;46.0425018952979;4.97692888646312;1.52093210434069;0.0000016247665448108;AR4;Unknown;primary_production-transport-manufacturing;materials & manufacturing;Plastics and Rubber Products;2020;US-NJ
Rigid truck (7.5 t - 12 t) - average / mixed load - CNG;tonne-km;76.8969648138506;4.4300836645828;2.68393052677352;0.00000302770553080606;AR4;Unknown;primary_production-transport-use;transport;Road Freight;2023;US-NY
Ethane;gal (us);102.334941567104;6.60043487046897;3.54566994780401;0.00000567242370933291;AR4;Unknown;use;energy;Fuel;2023;US-CA
Artic truck 34 - 40 t - Container transport - Refrig/temp controlled - Diesel 5% biodiesel blend;tonne-km;6.36399621528561;6.36399621528561;0;;AR4;Unknown;use;transport;Road Freight;2019;US-CA
Plastic resins;cad;107.432772082808;1.51718265441486;3.92279781304705;0.000000193904492189784;AR4;Unknown;primary_production-transport-manufacturing;materials and manufacturing;Plastics and Rubber Products;2020;US-NJ
PET waste (incl. forming) disposal - closed-loop;tonne;72.113746746619;8.17066844400208;2.36826215935618;;AR4;Unknown;end_of_life;waste;Plastic Waste;2021;US-TX
PHEV car (medium) - UK electricity T&D for EVs;km;124.82473076747;1.18324683764564;4.57930450471473;0.00000104921010627264;AR4;Unknown;electricity_t&d;transport;Vehicles;2024;US-TX
Petrol car (dual-purpose 4X4) - Passenger vehicles & travel land;km;96.3051203987366;6.65969097246068;3.32019910177642;0.000000214713250296537;AR4;Unknown;primary_production-transport;transport;Vehicles;2021;US-TX
Hotel stay (3 star);room-night;81.138327012126;2.78004832442831;2.90215846991473;;AR4;Unknown;unknown;restaurants and accommodation;Accommodation;2022;US-MN
Hotel stay (3 star);room-night;34.7523953799633;8.88373791418802;0.958047379316301;0.00000551289694040705;AR4;Unknown;unknown;restaurants and accommodation;Accommodation;2022;US-TX
HGV refrigerated (all diesel) - Rigid (>17 tonnes) - Average Laden - Managed assets (vehicles);km;104.44909560601;9.31204710778228;3.52353056551609;0.00000689291717446327;AR4;Unknown;use;transport;Vehicles;2021;US-NJ
Fugitive methane emissions from coal mining;tonne;84.2667729670614;1.76574662367404;3.0555588284774;0.00000375189799066527;AR4;Unknown;primary_production;materials and manufacturing;Mined Materials;2021;US-NJ
Sugar cane/sugar beet;eur;1.4713089905591;1.46951486369958;0;0.00000717650743809193;AR4;Unknown;unknown;agriculture/hunting/forestry/fishing;Arable Farming;2019;US-CA
Biopropane;kg;73.8978952369824;5.12913540110726;2.54699110503241;;AR4;Unknown;primary_production-transport;energy;Fuel;2021;US-NJ
Plastics waste disposal - combustion;tonne;14.5010769493617;9.91134496987876;0.169932124495626;0.00000625847240387569;AR4;Unknown;end_of_life;waste;Plastic Waste;2022;US-CA
Furniture/other manufactured goods (not elsewhere specified);eur;6.22770621577051;6.22577319059862;0;0.00000773210068757087;AR4;Unknown;unknown;consumer goods and services;Furnishings and Household;2019;US-NJ
Hydrogen passenger car large;passenger-km;98.199194164421;1.35035810257839;3.58697644489265;0.00000188819896399073;AR4;Unknown;primary_production-transport-use;transport;Road Travel;2020;US-TX
Basic iron and steel and of ferroalloys and first products thereof;eur;132.020923835451;9.31889758760029;4.54443928093093;0.00000866265086077946;AR4;Unknown;unknown;materials and manufacturing;Metals;2019;US-NY
White spirit/SBP;eur;1.33205468382261;1.33052365535691;0;0.00000612411386278109;AR4;Unknown;unknown;materials and manufacturing;Chemical Products;2019;US-TX
Cold-rolled iron or steel products;cad;9.82351960347536;2.80460781250916;0.259943456249903;0.00000175388887533489;AR4;Unknown;primary_production-transport-manufacturing;materials and manufacturing;Metals;2020;US-TX
Iron non-alloy steel - flat-rolled <600mm clad plated coated;kg;97.8829821682492;1.47049735600329;3.57081689272284;0.00000171483491731799;AR4;Unknown;manufacturing;materials and manufacturing;Metals;2023;US-NY
Other professional / scientific and technical services;cad;59.6037225662422;0.0577969823099367;2.20534937890631;0.00000596941384785183;AR4;Unknown;primary_production-transport-manufacturing;consumer goods and services;Professional Services;2020;US-NJ
Nonferrous metal die-casting foundries;usd;82.0978604015673;7.35006787538342;2.7683626219309;0.0000080069361981387;AR4;Unknown;primary_production-transport-manufacturing;materials and manufacturing;Metals;2022;US-NJ
Hotel stay (3 star);room-night;102.946648538909;2.43308581832482;3.72268214436563;0.00000457929085090846;AR4;Unknown;unknown;restaurants and accommodation;Accommodation;2022;US-TX
Radio stations;usd;22.6692026403601;3.38781887113295;0.714090486548811;0.00000376252963712723;AR4;Unknown;primary_production-transport-manufacturing;consumer goods and services;Recreation and Culture;2019;US-CA
