Activity Name;Activity Name;Unit ;Emmision (kgCO2e);kgCO2;kgCH4;kgN2O;Assesment Report;Scope;Life Cylce Assesment;Validity Year;Validity Region
Liquefied gas tanker 100000-199999 cbm - MDO;Transport/Sea Freight;tonne-km;1.70169796655245;1.26364924166842;0.0162240268475564;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Rail freight (diesel traction) - container transport;Transport/Rail Freight;tonne-km;10.7917964738265;8.29342493226323;0.0925322793171578;not-supplied;AR6;2;use;2023;GLOBAL
Panama Trade - Container ship (dry);Transport/Sea Freight;TEU-km;6.04691320120952;0.938534071109048;0.189199227040758;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Refrigerated bulk >10000 dwt - HFO;Transport/Sea Freight;tonne-km;30.1380865347118;9.23283531269608;0.774268563778361;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Liquefied gas tanker >200000 cbm - MDO;Transport/Sea Freight;tonne-km;26.5352742644839;7.97587561625894;0.687385135119445;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Liquefied gas tanker 50000-99999 cbm - MDO;Transport/Sea Freight;tonne-km;23.3902012230859;4.51011950102077;0.699262286002412;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Road freight - Refrigerated;Transport/Road Freight;tonne-km;11.9478497781494;2.65391557621175;0.344219785256951;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Oil tanker >200000 dwt - VLSFO;Transport/Sea Freight;tonne-km;12.4104781433266;8.53451488132768;0.143554194888849;not-supplied;AR6;2;use;2023;GLOBAL
Liquefied gas tanker >200000 cbm - VLSFO;Transport/Sea Freight;tonne-km;19.839362763024;4.98889227003095;0.550017425666409;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
North Europe to-from Mediterranean/Black Sea - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;18.3330374380395;8.73896678129371;0.355335950249846;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Chemical tanker >40000 dwt - HFO;Transport/Sea Freight;tonne-km;6.66357613160249;4.81486966369355;0.0684706099225534;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Other liquids tankers <999 dwt - HFO;Transport/Sea Freight;tonne-km;21.2422743887422;8.83785112727383;0.459423083758087;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Freight logistics - transshipment - ambient;Transport/Transport Services and Warehousing;tonne;32.7156244528048;9.33961400446867;0.86577816475319;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
General cargo 5000-9999 dwt - HFO;Transport/Sea Freight;tonne-km;23.7663888884082;8.32003504388619;0.572087179426742;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Liquefied gas tanker 50000-99999 cbm - MDO;Transport/Sea Freight;tonne-km;16.3040263115289;4.38520166917159;0.441437949716936;not-supplied;AR6;2;use;2023;GLOBAL
SE Asia to-from NE Asia - Container ship (dry);Transport/Sea Freight;TEU-km;14.2132192382551;3.56156067304054;0.394505872785724;not-supplied;AR6;2;use;2023;GLOBAL
Other - Container ship (dry);Transport/Sea Freight;TEU-km;11.2249465189409;5.19597651633732;0.223295185281615;not-supplied;AR6;2;primary_production-transport;2023;GLOBAL
Trans-Atlantic - Container ship (dry);Transport/Sea Freight;TEU-km;23.4540480398249;0.681677135111882;0.843421144619001;not-supplied;AR6;2;use;2023;GLOBAL
Liquefied gas tanker 50000-99999 cbm - VLSFO;Transport/Sea Freight;tonne-km;26.5677677058926;1.97223793736532;0.910945546982491;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
Intra South America - Container ship - reefer (refrigerated);Transport/Sea Freight;TEU-km;19.4628525888538;0.601499933806608;0.6985686168536;not-supplied;AR6;2;primary_production-transport-use;2023;GLOBAL
